,Author,ISBN,Previous Rank,Price,Rank,Title,Weeks on List,Category
227,Atul Gawande,9781250076229.0,6.0,16.0,4,Being Mortal,19.0,Trade Paperback Nonfiction
228,Holly Black,9780316310277.0,,18.99,4,The Cruel Prince,,Young Adult
229,Kelly Barnhill,9781616205676.0,,16.95,5,The Girl Who Drank the Moon,,Early & Middle
230,Amor Towles,9780670026197.0,2.0,27.0,5,A Gentleman in Moscow,71.0,Hardcover Fiction
231,Tiffany Haddish,9781501181825.0,6.0,26.0,5,The Last Black Unicorn,3.0,Hardcover Nonfiction
232,Doug Stanton,9781501179952.0,8.0,9.99,5,12 Strong,3.0,Mass Market
233,Ruth Ware,9781501132957.0,4.0,16.0,5,The Woman in Cabin 10,40.0,Trade Paperback Fiction
234,Doug Stanton,9781501178511.0,4.0,18.0,5,12 Strong,3.0,Trade Paperback Nonfiction
235,Nicola Yoon,9781524769604.0,,10.99,5,"Everything, Everything (An Indies Introduce Title)",,Young Adult
236,Kimberly Brubaker Bradley,9780147510488.0,,8.99,6,The War That Saved My Life,,Early & Middle
237,Dan Brown,9780385514231.0,3.0,29.95,6,Origin,15.0,Hardcover Fiction
238,Mary Beard,9781631494758.0,5.0,15.95,6,Women & Power,5.0,Hardcover Nonfiction
239,Liane Moriarty,9780451490049.0,6.0,9.99,6,The Husband's Secret,26.0,Mass Market
240,Rupi Kaur,9781449486792.0,3.0,16.99,6,The Sun and Her Flowers,15.0,Trade Paperback Fiction
241,Jonah Berger,9781476759739.0,5.0,16.0,6,Invisible Influence,30.0,Trade Paperback Nonfiction
242,Marissa Meyer,9781250044662.0,,19.99,6,Renegades,,Young Adult
243,Katherine Applegate,9781250043221.0,,16.99,7,Wishtree,,Early & Middle
244,Andy Weir,9780553448122.0,6.0,27.0,7,Artemis,9.0,Hardcover Fiction
245,Ron Chernow,9781594204876.0,7.0,40.0,7,Grant,14.0,Hardcover Nonfiction
246,Steve Berry,9781250058461.0,,9.99,7,The Lost Order- Debut,1.0,Mass Market
247,Rupi Kaur,9781449474256.0,1.0,14.99,7,Milk and Honey,71.0,Trade Paperback Fiction
248,Timothy Snyder,9780804190114.0,9.0,7.99,7,On Tyranny,44.0,Trade Paperback Nonfiction
249,John Green,9780525428022.0,,19.99,7,Looking for Alaska,,Young Adult
250,Pete Souza,9780316514392.0,,21.99,8,Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,,Early & Middle
251,Jennifer Egan,9781476716732.0,5.0,27.0,8,Manhattan Beach,15.0,Hardcover Fiction
252,Joe Biden,9781250171672.0,9.0,27.0,8,"Promise Me, Dad",9.0,Hardcover Nonfiction
253,Liane Moriarty,9780451490445.0,7.0,9.99,8,What Alice Forgot,2.0,Mass Market
254,Ernest Cline,9780307887443.0,9.0,16.0,8,Ready Player One,23.0,Trade Paperback Fiction
255,Matthew Desmond,9780553447453.0,8.0,17.0,8,Evicted,35.0,Trade Paperback Nonfiction
256,Markus Zusak,9780385754729.0,,12.99,8,The Book Thief,,Young Adult
257,Kimberly Brubaker Bradley,9780525429203.0,,16.99,9,The War I Finally Won,,Early & Middle
258,George Saunders,9780812995343.0,8.0,28.0,9,Lincoln in the Bardo,37.0,Hardcover Fiction
259,Ray Dalio,9781501124020.0,8.0,30.0,9,Principles: Life and Work,8.0,Hardcover Nonfiction
260,Agatha Christie,9780062693662.0,4.0,9.99,9,Murder on the Orient Express,11.0,Mass Market
261,Georgia Hunter,9780399563096.0,12.0,16.0,9,We Were the Lucky Ones,2.0,Trade Paperback Fiction
262,Harvard Business School Press,9781633690196.0,11.0,24.95,9,HBR's 10 Must Reads on Emotional Intelligence,72.0,Trade Paperback Nonfiction
263,Sherman Alexie,9780316013697.0,,15.99,9,The Absolutely True Diary of a Part-Time Indian,,Young Adult
264,Victoria Jamieson,9780803740167.0,,12.99,10,Roller Girl,,Early & Middle
265,Naomi Alderman,9780316547611.0,10.0,26.0,10,The Power,2.0,Hardcover Fiction
266,J.D. Vance,9780062300546.0,10.0,27.99,10,Hillbilly Elegy,72.0,Hardcover Nonfiction
267,Nicholas Sparks,9781478948377.0,9.0,8.99,10,Safe Haven,3.0,Mass Market
268,Shari Lapena,9780735221109.0,10.0,16.0,10,The Couple Next Door,33.0,Trade Paperback Fiction
269,Alexandra Horowitz,9781476796024.0,7.0,17.0,10,Being a Dog,13.0,Trade Paperback Nonfiction
270,Karen M. McManus,9781524714680.0,,17.99,10,One of Us Is Lying,,Young Adult
271,Sara Pennypacker & Jon Klassen (Illus.),9780062377012.0,,16.99,11,Pax,,Early & Middle
272,John Grisham,9780385541176.0,9.0,28.95,11,The Rooster Bar,12.0,Hardcover Fiction
273,The Dalai Lama,9780399185045.0,13.0,26.0,11,The Book of Joy,43.0,Hardcover Nonfiction
274,Martha Hall Kelly,9781101883082.0,7.0,17.0,11,Lilac Girls,46.0,Trade Paperback Fiction
275,Harvard Business School Press,9781422157992.0,12.0,24.95,11,HBR's 10 Must Reads on Managing Yourself,52.0,Trade Paperback Nonfiction
276,Marie Lu,9780399547966.0,,18.99,11,Warcross,,Young Adult
277,Raina Telgemeier,9780545326995.0,,10.99,12,Drama,,Early & Middle
278,Greer Hendricks,9781250130921.0,,26.99,12,The Wife Between Us- Debut,1.0,Hardcover Fiction
279,Brene Brown,9780812995848.0,,28.0,12,Braving the Wilderness,9.0,Hardcover Nonfiction
280,Paulette Jiles,9780062409218.0,11.0,15.99,12,News of the World,25.0,Trade Paperback Fiction
281,Michael Lewis,9780393354775.0,10.0,16.95,12,The Undoing Project,11.0,Trade Paperback Nonfiction
282,Ruta Sepetys,9780142423622.0,,10.99,12,Salt to the Sea,,Young Adult
283,Raina Telgemeier,9780545540605.0,,10.99,13,Sisters,,Early & Middle
284,Lee Child,9780399593482.0,14.0,28.99,13,The Midnight Line,10.0,Hardcover Fiction
285,Daniel H. Pink,9780735210622.0,,28.0,13,When: The Scientific Secrets of Perfect Timing- Debut,1.0,Hardcover Nonfiction
286,Peter Heller,9781101973486.0,,16.0,13,Celine- Debut,1.0,Trade Paperback Fiction
287,Joan Didion,9780525434191.0,,15.0,13,South and West: From a Notebook- Debut,1.0,Trade Paperback Nonfiction
288,John Green,9780142424179.0,,12.99,13,The Fault in Our Stars,,Young Adult
289,Vashti Harrison,9780316475112.0,,16.99,14,Little Leaders: Bold Women in Black History- Debut,,Early & Middle
290,Tom Hanks,9781101946152.0,13.0,26.95,14,Uncommon Type,13.0,Hardcover Fiction
291,David Grann,9780385534246.0,11.0,28.95,14,Killers of the Flower Moon,28.0,Hardcover Nonfiction
292,Andre Aciman,9781250169440.0,,17.0,14,Call Me by Your Name- Debut,1.0,Trade Paperback Fiction
293,Sy Montgomery,9781451697728.0,,16.0,14,The Soul of an Octopus,26.0,Trade Paperback Nonfiction
294,Lois Lowry,9780544340688.0,,9.99,14,The Giver,,Young Adult
295,Raina Telgemeier,9780545540629.0,,10.99,15,Ghosts,,Early & Middle
296,Mohsin Hamid,9780735212176.0,11.0,26.0,15,Exit West,12.0,Hardcover Fiction
297,Ta-Nehisi Coates,9780399590566.0,12.0,28.0,15,We Were Eight Years in Power,15.0,Hardcover Nonfiction
298,B.A. Paris,9781250132369.0,14.0,16.99,15,Behind Closed Doors,27.0,Trade Paperback Fiction
299,Robert Moor,9781476739236.0,13.0,16.0,15,On Trails,28.0,Trade Paperback Nonfiction
300,Robin Benway,9780062330628.0,,17.99,15,Far From the Tree,,Young Adult
301,Madeleine L'Engle,9781250153272.0,,8.99,1,A Wrinkle in Time,,Early & Middle
302,A.J. Finn,9780062678416.0,3.0,26.99,1,The Woman in the Window,3.0,Hardcover Fiction
303,Michael Wolff,9781250158062.0,1.0,30.0,1,Fire and Fury,3.0,Hardcover Nonfiction
304,Lee Child,9780399593598.0,1.0,9.99,1,No Middle Name,3.0,Mass Market
305,Min Jin Lee,9781455563920.0,1.0,15.99,1,Pachinko,10.0,Trade Paperback Fiction
306,Jen Sincero,9780762447695.0,1.0,16.0,1,You Are a Badass,131.0,Trade Paperback Nonfiction
307,John Green,9780525555360.0,,19.99,1,Turtles All the Way Down,,Young Adult
308,R.J. Palacio,9781524720193.0,,16.99,2,Wonder,,Early & Middle
309,Chloe Benjamin,9780735213180.0,2.0,26.0,2,The Immortalists,2.0,Hardcover Fiction
310,Neil deGrasse Tyson,9780393609394.0,2.0,18.95,2,Astrophysics for People in a Hurry,38.0,Hardcover Nonfiction
311,John Grisham,9781101967683.0,3.0,9.99,2,The Whistler,28.0,Mass Market
312,Jessica Shattuck,9780062563675.0,2.0,16.99,2,The Women in the Castle,3.0,Trade Paperback Fiction
313,Doug Stanton,9781501178511.0,5.0,18.0,2,12 Strong,4.0,Trade Paperback Nonfiction
314,Angie Thomas,9780062498533.0,,17.99,2,The Hate U Give,,Young Adult
315,Raina Telgemeier,9780545326995.0,,10.99,3,Drama,,Early & Middle
316,Jesmyn Ward,9781501126062.0,1.0,26.0,3,"Sing, Unburied, Sing",16.0,Hardcover Fiction
317,Mark Manson,9780062457714.0,3.0,24.99,3,The Subtle Art of Not Giving A F*ck,42.0,Hardcover Nonfiction
318,Michael Crichton,9780062473363.0,2.0,9.99,3,Dragon Teeth,8.0,Mass Market
319,Anthony Doerr,9781501173219.0,4.0,17.0,3,All the Light We Cannot See,42.0,Trade Paperback Fiction
320,Peter Frankopan,9781101912379.0,2.0,20.0,3,The Silk Roads,8.0,Trade Paperback Nonfiction
321,Philip Pullman,9780375815300.0,,22.99,3,The Book of Dust: La Belle Sauvage,,Young Adult
322,R.J. Palacio,9781101934852.0,,16.99,4,Auggie & Me,,Early & Middle
323,Celeste Ng,9780735224292.0,4.0,27.0,4,Little Fires Everywhere,19.0,Hardcover Fiction
324,Walter Isaacson,9781501139154.0,4.0,35.0,4,Leonardo da Vinci,14.0,Hardcover Nonfiction
325,James Patterson,9781478944782.0,4.0,9.99,4,Never Never,4.0,Mass Market
326,Margaret Atwood,9780525435006.0,3.0,15.95,4,The Handmaid's Tale,39.0,Trade Paperback Fiction
327,Douglas J. Preston,9781455540013.0,3.0,15.99,4,The Lost City of the Monkey God,19.0,Trade Paperback Nonfiction
328,Holly Black,9780316310277.0,,18.99,4,The Cruel Prince,,Young Adult
329,Kimberly Brubaker Bradley,9780147510488.0,,8.99,5,The War That Saved My Life,,Early & Middle
330,Amor Towles,9780670026197.0,5.0,27.0,5,A Gentleman in Moscow,72.0,Hardcover Fiction
331,Tiffany Haddish,9781501181825.0,5.0,26.0,5,The Last Black Unicorn,4.0,Hardcover Nonfiction
332,Doug Stanton,9781501179952.0,5.0,9.99,5,12 Strong,4.0,Mass Market
333,Ruth Ware,9781501132957.0,5.0,16.0,5,The Woman in Cabin 10,41.0,Trade Paperback Fiction
334,Atul Gawande,9781250076229.0,4.0,16.0,5,Being Mortal,20.0,Trade Paperback Nonfiction
335,Nicola Yoon,9781524769604.0,,10.99,5,"Everything, Everything (An Indies Introduce Title)",,Young Adult
336,Vashti Harrison,9780316475112.0,,16.99,6,Little Leaders: Bold Women in Black History,,Early & Middle
337,Dan Brown,9780385514231.0,6.0,29.95,6,Origin,16.0,Hardcover Fiction
338,Ray Dalio,9781501124020.0,9.0,30.0,6,Principles,9.0,Hardcover Nonfiction
339,Steve Berry,9781250058461.0,7.0,9.99,6,The Lost Order,2.0,Mass Market
340,Rupi Kaur,9781449486792.0,6.0,16.99,6,The Sun and Her Flowers,16.0,Trade Paperback Fiction
341,Jonah Berger,9781476759739.0,6.0,16.0,6,Invisible Influence,31.0,Trade Paperback Nonfiction
342,John Green,9780142424179.0,,12.99,6,The Fault in Our Stars,,Young Adult
343,Kelly Barnhill,9781616205676.0,,16.95,7,The Girl Who Drank the Moon,,Early & Middle
344,Andy Weir,9780553448122.0,7.0,27.0,7,Artemis,10.0,Hardcover Fiction
345,Mary Beard,9781631494758.0,6.0,15.95,7,Women & Power,6.0,Hardcover Nonfiction
346,Agatha Christie,9780062693662.0,9.0,9.99,7,Murder on the Orient Express,12.0,Mass Market
347,Ernest Cline,9780307887443.0,8.0,16.0,7,Ready Player One,24.0,Trade Paperback Fiction
348,Harvard Business School Press,9781633690196.0,9.0,24.95,7,HBR's 10 Must Reads on Emotional Intelligence,73.0,Trade Paperback Nonfiction
349,Marissa Meyer,9781250044662.0,,19.99,7,Renegades,,Young Adult
350,Victoria Jamieson,9780525429999.0,,12.99,8,All's Faire in Middle School,,Early & Middle
351,Jennifer Egan,9781476716732.0,8.0,27.0,8,Manhattan Beach,16.0,Hardcover Fiction
352,Daniel H. Pink,9780735210622.0,13.0,28.0,8,When: The Scientific Secrets of Perfect Timing,2.0,Hardcover Nonfiction
353,Michael Connelly,9781455524204.0,,9.99,8,The Wrong Side of Goodbye,8.0,Mass Market
354,Martha Hall Kelly,9781101883082.0,11.0,17.0,8,Lilac Girls,47.0,Trade Paperback Fiction
355,Matthew Desmond,9780553447453.0,8.0,17.0,8,Evicted,36.0,Trade Paperback Nonfiction
356,Markus Zusak,9780385754729.0,,12.99,8,The Book Thief,,Young Adult
357,Raina Telgemeier,9780545132060.0,,10.99,9,Smile,,Early & Middle
358,Greer Hendricks,9781250130921.0,12.0,26.99,9,The Wife Between Us,2.0,Hardcover Fiction
359,David Cay Johnston,9781501174162.0,,28.0,9,It's Even Worse Than You Think: What the Trump Administration Is Doing to America,1.0,Hardcover Nonfiction
360,Liane Moriarty,9780451490049.0,6.0,9.99,9,The Husband's Secret,27.0,Mass Market
361,Rupi Kaur,9781449474256.0,7.0,14.99,9,Milk and Honey,72.0,Trade Paperback Fiction
362,Timothy Snyder,9780804190114.0,7.0,7.99,9,On Tyranny,45.0,Trade Paperback Nonfiction
363,Lois Lowry,9780544340688.0,,9.99,9,The Giver,,Young Adult
364,Raina Telgemeier,9780545540605.0,,10.99,10,Sisters,,Early & Middle
365,John Grisham,9780385541176.0,11.0,28.95,10,The Rooster Bar,13.0,Hardcover Fiction
366,J.D. Vance,9780062300546.0,10.0,27.99,10,Hillbilly Elegy,73.0,Hardcover Nonfiction
367,Liane Moriarty,9780451490445.0,8.0,9.99,10,What Alice Forgot,3.0,Mass Market
368,Georgia Hunter,9780399563096.0,9.0,16.0,10,We Were the Lucky Ones,3.0,Trade Paperback Fiction
369,Michael Lewis,9780393354775.0,12.0,16.95,10,The Undoing Project,12.0,Trade Paperback Nonfiction
370,Veronica Roth,9780062348647.0,,12.99,10,Carve the Mark,,Young Adult
371,Pete Souza,9780316514392.0,,21.99,11,Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,,Early & Middle
372,Naomi Alderman,9780316547611.0,10.0,26.0,11,The Power,3.0,Hardcover Fiction
373,Joe Biden,9781250171672.0,8.0,27.0,11,"Promise Me, Dad",10.0,Hardcover Nonfiction
374,Shari Lapena,9780735221109.0,10.0,16.0,11,The Couple Next Door,34.0,Trade Paperback Fiction
375,Harvard Business School Press,9781422157992.0,11.0,24.95,11,HBR's 10 Must Reads on Managing Yourself,53.0,Trade Paperback Nonfiction
376,Robin Benway,9780062330628.0,,17.99,11,Far From the Tree,,Young Adult
377,Kimberly Brubaker Bradley,9780525429203.0,,16.99,12,The War I Finally Won,,Early & Middle
378,Denis Johnson,9780812988635.0,,27.0,12,The Largesse of the Sea Maiden- Debut,1.0,Hardcover Fiction
379,The Dalai Lama,9780399185045.0,11.0,26.0,12,The Book of Joy,44.0,Hardcover Nonfiction
380,Peter Heller,9781101973486.0,13.0,16.0,12,Celine,2.0,Trade Paperback Fiction
381,Alexandra Horowitz,9781476796024.0,10.0,17.0,12,Being a Dog,14.0,Trade Paperback Nonfiction
382,Marie Lu,9780399547966.0,,18.99,12,Warcross,,Young Adult
383,Katherine Applegate,9781250043221.0,,16.99,13,Wishtree,,Early & Middle
384,George Saunders,9780812995343.0,9.0,28.0,13,Lincoln in the Bardo,38.0,Hardcover Fiction
385,Brene Brown,9780812995848.0,12.0,28.0,13,Braving the Wilderness,10.0,Hardcover Nonfiction
386,Andre Aciman,9781250169440.0,14.0,17.0,13,Call Me by Your Name,2.0,Trade Paperback Fiction
387,Joan Didion,9780525434191.0,13.0,15.0,13,South and West,2.0,Trade Paperback Nonfiction
388,Ruta Sepetys,9780142423622.0,,10.99,13,Salt to the Sea,,Young Adult
389,Raina Telgemeier,9780545540629.0,,10.99,14,Ghosts,,Early & Middle
390,Lee Child,9780399593482.0,13.0,28.99,14,The Midnight Line,11.0,Hardcover Fiction
391,David Grann,9780385534246.0,14.0,28.95,14,Killers of the Flower Moon,29.0,Hardcover Nonfiction
392,B.A. Paris,9781250132369.0,15.0,16.99,14,Behind Closed Doors,28.0,Trade Paperback Fiction
393,Chimamanda Ngozi Adichie,9781101911761.0,,7.95,14,We Should All Be Feminists,79.0,Trade Paperback Nonfiction
394,John Green,9780525428022.0,,19.99,14,Looking for Alaska,,Young Adult
395,Jessica Townsend,9780316508889.0,,17.99,15,Nevermoor: The Trials of Morrigan Crow (An Indies Introduce Title),,Early & Middle
396,Mohsin Hamid,9780735212176.0,15.0,26.0,15,Exit West,13.0,Hardcover Fiction
397,Ron Chernow,9781594204876.0,7.0,40.0,15,Grant,15.0,Hardcover Nonfiction
398,Leeila Slimani,9780143132172.0,,16.0,15,The Perfect Nanny,1.0,Trade Paperback Fiction
399,Ben Macintyre,9781101904183.0,,16.0,15,Rogue Heroes,17.0,Trade Paperback Nonfiction
400,Karen M. McManus,9781524714680.0,,17.99,15,One of Us Is Lying,,Young Adult
401,Pierce Brown,9780425285916.0,,28.0,16,Iron Gold,,Hardcover Fiction
402,Madeleine L'Engle,9781250153272.0,,8.99,1,A Wrinkle in Time,,Early & Middle
403,Chloe Benjamin,9780735213180.0,2.0,26.0,1,The Immortalists,3.0,Hardcover Fiction
404,Michael Wolff,9781250158062.0,1.0,30.0,1,Fire and Fury,4.0,Hardcover Nonfiction
405,Lee Child,9780399593598.0,1.0,9.99,1,No Middle Name,4.0,Mass Market
406,Min Jin Lee,9781455563920.0,1.0,15.99,1,Pachinko,11.0,Trade Paperback Fiction
407,Jen Sincero,9780762447695.0,1.0,16.0,1,You Are a Badass,132.0,Trade Paperback Nonfiction
408,John Green,9780525555360.0,,19.99,1,Turtles All the Way Down,,Young Adult
409,R.J. Palacio,9781524720193.0,,16.99,2,Wonder,,Early & Middle
410,A.J. Finn,9780062678416.0,1.0,26.99,2,The Woman in the Window,4.0,Hardcover Fiction
411,Neil deGrasse Tyson,9780393609394.0,2.0,18.95,2,Astrophysics for People in a Hurry,39.0,Hardcover Nonfiction
412,John Grisham,9781101967683.0,2.0,9.99,2,The Whistler,29.0,Mass Market
413,Jessica Shattuck,9780062563675.0,2.0,16.99,2,The Women in the Castle,4.0,Trade Paperback Fiction
414,Doug Stanton,9781501178511.0,2.0,18.0,2,12 Strong,5.0,Trade Paperback Nonfiction
415,Angie Thomas,9780062498533.0,,17.99,2,The Hate U Give,,Young Adult
416,R.J. Palacio,9781101934852.0,,16.99,3,Auggie & Me,,Early & Middle
417,Amor Towles,9780670026197.0,5.0,27.0,3,A Gentleman in Moscow,73.0,Hardcover Fiction
418,Mark Manson,9780062457714.0,3.0,24.99,3,The Subtle Art of Not Giving A F*ck,43.0,Hardcover Nonfiction
419,Michael Crichton,9780062473363.0,3.0,9.99,3,Dragon Teeth,9.0,Mass Market
420,Anthony Doerr,9781501173219.0,3.0,17.0,3,All the Light We Cannot See,43.0,Trade Paperback Fiction
421,Peter Frankopan,9781101912379.0,3.0,20.0,3,The Silk Roads,9.0,Trade Paperback Nonfiction
422,Philip Pullman,9780375815300.0,,22.99,3,The Book of Dust: La Belle Sauvage,,Young Adult
423,Kimberly Brubaker Bradley,9780147510488.0,,8.99,4,The War That Saved My Life,,Early & Middle
424,Celeste Ng,9780735224292.0,4.0,27.0,4,Little Fires Everywhere,20.0,Hardcover Fiction
425,Walter Isaacson,9781501139154.0,4.0,35.0,4,Leonardo da Vinci,15.0,Hardcover Nonfiction
426,Doug Stanton,9781501179952.0,5.0,9.99,4,12 Strong,5.0,Mass Market
427,Georgia Hunter,9780399563096.0,10.0,16.0,4,We Were the Lucky Ones,4.0,Trade Paperback Fiction
428,Douglas J. Preston,9781455540013.0,4.0,15.99,4,The Lost City of the Monkey God,20.0,Trade Paperback Nonfiction
429,Holly Black,9780316310277.0,,18.99,4,The Cruel Prince,,Young Adult
430,Kelly Barnhill,9781616205676.0,,16.95,5,The Girl Who Drank the Moon,,Early & Middle
431,Jesmyn Ward,9781501126062.0,3.0,26.0,5,"Sing, Unburied, Sing",17.0,Hardcover Fiction
432,Tiffany Haddish,9781501181825.0,5.0,26.0,5,The Last Black Unicorn,5.0,Hardcover Nonfiction
433,James Patterson,9781478944782.0,4.0,9.99,5,Never Never,5.0,Mass Market
434,Ruth Ware,9781501132957.0,5.0,16.0,5,The Woman in Cabin 10,42.0,Trade Paperback Fiction
435,Atul Gawande,9781250076229.0,5.0,16.0,5,Being Mortal,21.0,Trade Paperback Nonfiction
436,Nicola Yoon,9781524769604.0,,10.99,5,"Everything, Everything",,Young Adult
437,Raina Telgemeier,9780545326995.0,,10.99,6,Drama,,Early & Middle
438,Dan Brown,9780385514231.0,6.0,29.95,6,Origin,17.0,Hardcover Fiction
439,J.D. Vance,9780062300546.0,10.0,27.99,6,Hillbilly Elegy,74.0,Hardcover Nonfiction
440,Ursula K. Le Guin,9780441478125.0,,9.99,6,The Left Hand of Darkness,1.0,Mass Market
441,Margaret Atwood,9780525435006.0,4.0,15.95,6,The Handmaid's Tale,40.0,Trade Paperback Fiction
442,Jonah Berger,9781476759739.0,6.0,16.0,6,Invisible Influence,32.0,Trade Paperback Nonfiction
443,Markus Zusak,9780385754729.0,,12.99,6,The Book Thief,,Young Adult
444,Vashti Harrison,9780316475112.0,,16.99,7,Little Leaders: Bold Women in Black History,,Early & Middle
445,Andy Weir,9780553448122.0,7.0,27.0,7,Artemis,11.0,Hardcover Fiction
446,Steven Levitsky,9781524762933.0,,26.0,7,How Democracies Die,1.0,Hardcover Nonfiction
447,Liane Moriarty,9780451490049.0,9.0,9.99,7,The Husband's Secret,28.0,Mass Market
448,Rupi Kaur,9781449486792.0,6.0,16.99,7,The Sun and Her Flowers,17.0,Trade Paperback Fiction
449,Harvard Business School Press,9781422157992.0,11.0,24.95,7,HBR's 10 Must Reads on Managing Yourself,54.0,Trade Paperback Nonfiction
450,Marissa Meyer,9781250044662.0,,19.99,7,Renegades,,Young Adult
451,Raina Telgemeier,9780545132060.0,,10.99,8,Smile,,Early & Middle
452,Jennifer Egan,9781476716732.0,8.0,27.0,8,Manhattan Beach,17.0,Hardcover Fiction
453,The Dalai Lama,9780399185045.0,12.0,26.0,8,The Book of Joy,45.0,Hardcover Nonfiction
